Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId,IsPriorityRecord,Level__c,Languages__c,Prequalified__c,Loan_Amount__c,Account_Number__c,Account_Checkbox__c,Status__c
003dM000003GnkhQAC,False,,,Holmes,Brad,,Brad Holmes,,,,,,,,,,,,,,,,,,,617-555-0143,,,,,,,bholmes@goodmail.com,,,,,,,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,,,,2024-08-12T10:27:19.000+0000,2024-08-12T10:27:19.000+0000,,,False,/services/images/photo/003dM000003GnkhQAC,,,Pending,,False,,,False,,,False,
003dM000003GnkiQAC,False,,,Martin,Leslie,,Leslie Martin,,,,,,,,,,,,,,,,,,,617-555-0112,,,,,,,leslie@pentagon.com,,,,,,,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,,,,2024-07-10T06:11:48.000+0000,2024-07-10T06:11:48.000+0000,,,False,/services/images/photo/003dM000003GnkiQAC,,,Pending,,False,,,False,,,False,
003dM000003GnkjQAC,False,,,Walker,July,,July Walker,,,,,,,,,,,,,,,,,,,617-555-0170,,,,,,,julywalker@brain.com,,,,,,,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,,,,2024-07-10T06:11:48.000+0000,2024-07-10T06:11:48.000+0000,,,False,/services/images/photo/003dM000003GnkjQAC,,,Pending,,False,,,False,,,False,
003dM000003GnkkQAC,False,,,Jones,Anna,,Anna Jones,,,,,,,,,,,,,,,,,,,617-555-0181,,,,,,,annaj@mymail.com,,,,,,,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,,,,2024-07-10T06:11:48.000+0000,2024-07-10T06:11:48.000+0000,,,False,/services/images/photo/003dM000003GnkkQAC,,,Pending,,False,,,False,,,False,
003dM000003GnklQAC,False,,,Connor,John,,John Connor,,,,,,,,,,,,,,,,,,,617-555-0133,,,,,,,jconnor@goodmail.com,,,,,,,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,005dM000004WE3FQAW,2024-07-10T06:11:48.000+0000,,,,2024-07-10T06:11:48.000+0000,2024-07-10T06:11:48.000+0000,,,False,/services/images/photo/003dM000003GnklQAC,,,Pending,,False,,,False,,,False,
003dM000003KT5lQAG,False,,,Dodge,John,Mr.,John Dodge,,,,,,,,,,,,,,,,,,,,,555-888-8888,,,,,jdodge@example.com,SVP of Sales,,,,,,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,,,,,,,,False,/services/images/photo/003dM000003KT5lQAG,,,Pending,,False,,,False,,,False,
003dM000003KT5mQAG,False,,,Smith,Sarah,Ms.,Sarah Smith,,,,,,,,,,,,,,,,,,,,,555-999-8888,,,,,ssnith@example.com,Senior Sales Rep,,,,,,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,,,,,,,,False,/services/images/photo/003dM000003KT5mQAG,,,Pending,,False,,,False,,,False,
003dM000003KT5nQAG,False,,,Dapper,George,Dr.,George Dapper,,,,,,,,,,,,,,,,,,,,,555-999-0000,,,,,gdapper@example.com,Director of Healthcare,,,,,,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,,,,,,,,False,/services/images/photo/003dM000003KT5nQAG,,,Pending,,False,,,False,,,False,
003dM000003KT5oQAG,False,,,Dodge,Jack,Mr.,Jack Dodge,,,,,,,,,,,,,,,,,,,,,555-888-8888,,,,,jdodge2@example.com,EVP of Sales,,,,,,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,,,,,,,,False,/services/images/photo/003dM000003KT5oQAG,,,Pending,,False,,,False,,,False,
003dM000003KT5pQAG,False,,,Jones,Jessica,Mrs.,Jessica Jones,,,,,,,,,,,,,,,,,,,,,555-999-8888,,,,,jjones@example.com,Senior Sales Rep,,,,,,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,005dM000004WE3FQAW,2024-07-11T05:12:01.000+0000,,,,,,,,False,/services/images/photo/003dM000003KT5pQAG,,,Pending,,False,,,False,,,False,
