Id,IsDeleted,MasterRecordId,LastName,FirstName,Salutation,Name,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Address,Phone,MobilePhone,Fax,Email,Website,PhotoUrl,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,IsUnreadByOwner,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawContactId,CleanStatus,CompanyDunsNumber,DandbCompanyId,EmailBouncedReason,EmailBouncedDate,IndividualId,IsPriorityRecord,SICCode__c,ProductInterest__c,Primary__c,CurrentGenerators__c,NumberofLocations__c,DB_Created_Date_without_Time__c,DB_Lead_Age__c
00QdM000004yvFeUAI,False,,Boxer,Bertha,Ms.,Bertha Boxer,Director of Vendor Relations,Farmers Coop. of Florida,321 Westcott Building,Tallahassee,FL,32306,USA,,,,"OrderedDict([('city', 'Tallahassee'), ('country', 'USA'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', '32306'), ('state', 'FL'), ('street', '321 Westcott Building')])",(850) 644-4200,,(850) 644-4300,bertha@fcof.net,,/services/images/photo/00QdM000004yvFeUAI,,Web,Working - Contacted,Agriculture,Hot,900750000.0,,005dM000004WE3FQAW,False,,,,,True,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:55:13.000+0000,,,,,,Pending,,,,,,False,2768,GC5000 series,Yes,All,130.0,2024-07-10,69.0
00QdM000004yvFfUAI,False,,Cotton,Phyllis,Ms,Phyllis Cotton,CFO,Abbott Insurance,,,VA,,USA,,,,"OrderedDict([('city', None), ('country', 'USA'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', 'VA'), ('street', None)])",(703) 757-1000,,,pcotton@abbottins.net,,/services/images/photo/00QdM000004yvFfUAI,,Web,Open - Not Contacted,,,,,005dM000004WE3FQAW,False,,,,,True,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:55:13.000+0000,,,,,,Pending,,,,,,False,2768,GC5000 series,Yes,All,130.0,2024-07-10,69.0
00QdM000004yvFgUAI,False,,Glimpse,Jeff,Mr,Jeff Glimpse,"SVP, Procurement",Jackson Controls,,,,,Taiwan,,,,"OrderedDict([('city', None), ('country', 'Taiwan'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', None), ('street', None)])",886-2-25474189,,,jeffg@jackson.com,,/services/images/photo/00QdM000004yvFgUAI,,Phone Inquiry,Open - Not Contacted,,,,,005dM000004WE3FQAW,False,,,,,True,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:55:13.000+0000,,,,,,Pending,,,,,,False,2768,GC5000 series,Yes,All,130.0,2024-07-10,69.0
00QdM000004yvFhUAI,False,,Braund,Mike,Mr,Mike Braund,"VP, Technology",Metropolitan Health Services,,,MD,,USA,,,,"OrderedDict([('city', None), ('country', 'USA'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', 'MD'), ('street', None)])",(410) 381-2334,,,likeb@metro.com,,/services/images/photo/00QdM000004yvFhUAI,,Purchased List,Open - Not Contacted,,,,,005dM000004WE3FQAW,False,,,,,True,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:55:13.000+0000,,,,,,Pending,,,,,,False,2768,GC5000 series,Yes,All,130.0,2024-07-10,69.0
00QdM000004yvFiUAI,False,,Feager,Patricia,Ms,Patricia Feager,CEO,International Shipping Co.,,,NC,,USA,,,,"OrderedDict([('city', None), ('country', 'USA'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', 'NC'), ('street', None)])",(336) 777-1970,,,patricia_feager@is.com,,/services/images/photo/00QdM000004yvFiUAI,,Partner Referral,Working - Contacted,,,,,005dM000004WE3FQAW,False,,,,,True,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:55:13.000+0000,,,,,,Pending,,,,,,False,2768,GC5000 series,Yes,All,130.0,2024-07-10,69.0
00QdM000004yvFjUAI,False,,Mcclure,Brenda,Ms,Brenda Mcclure,CFO,Cadinal Inc.,,,IL,,USA,,,,"OrderedDict([('city', None), ('country', 'USA'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', 'IL'), ('street', None)])",(847) 262-5000,,,brenda@cardinal.net,,/services/images/photo/00QdM000004yvFjUAI,,Web,Working - Contacted,,,,,005dM000004WE3FQAW,False,,,,,True,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:55:13.000+0000,,,,,,Pending,,,,,,False,2768,GC5000 series,Yes,All,130.0,2024-07-10,69.0
00QdM000004yvFkUAI,False,,Maccleod,Violet,Ms,Violet Maccleod,"VP, Finance",Emerson Transport,,,GA,,USA,,,,"OrderedDict([('city', None), ('country', 'USA'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', 'GA'), ('street', None)])",(770) 395-2370,,,violetm@emersontransport.com,,/services/images/photo/00QdM000004yvFkUAI,,Phone Inquiry,Working - Contacted,,,,,005dM000004WE3FQAW,False,,,,,True,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:55:13.000+0000,,,,,,Pending,,,,,,False,2768,GC5000 series,Yes,All,130.0,2024-07-10,69.0
00QdM000004yvFlUAI,False,,Snyder,Kathy,Ms,Kathy Snyder,Regional General Manager,TNR Corp.,,,CT,,USA,,,,"OrderedDict([('city', None), ('country', 'USA'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', 'CT'), ('street', None)])",(860) 273-0123,,,ksynder@tnr.net,,/services/images/photo/00QdM000004yvFlUAI,,Purchased List,Working - Contacted,,,,,005dM000004WE3FQAW,False,,,,,True,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:55:13.000+0000,,,,,,Pending,,,,,,False,2768,GC5000 series,Yes,All,130.0,2024-07-10,69.0
00QdM000004yvFmUAI,False,,James,Tom,Mr,Tom James,"SVP, Production",Delphi Chemicals,,,MN,,USA,,,,"OrderedDict([('city', None), ('country', 'USA'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', 'MN'), ('street', None)])",(952) 346-3500,,,tom.james@delphi.chemicals.com,,/services/images/photo/00QdM000004yvFmUAI,,Web,Working - Contacted,,,,,005dM000004WE3FQAW,False,,,,,True,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:55:13.000+0000,,,,,,Pending,,,,,,False,2768,GC5000 series,Yes,All,130.0,2024-07-10,69.0
00QdM000004yvFnUAI,False,,Brownell,Shelly,Ms,Shelly Brownell,"SVP, Technology",Western Telecommunications Corp.,,,CA,,USA,,,,"OrderedDict([('city', None), ('country', 'USA'), ('geocodeAccuracy', None), ('latitude', None), ('longitude', None), ('postalCode', None), ('state', 'CA'), ('street', None)])",(408) 326-9000,,,shellyb@westerntelecom.com,,/services/images/photo/00QdM000004yvFnUAI,,Partner Referral,Working - Contacted,,,,,005dM000004WE3FQAW,False,,,,,True,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:50:30.000+0000,005dM000004WE3FQAW,2024-07-10T05:55:13.000+0000,,,,,,Pending,,,,,,False,2768,GC5000 series,Yes,All,130.0,2024-07-10,69.0
